vehicle_id,cell_chemistry,cycle_number,calendar_age_days,soh_pct,capacity_Ah,nominal_capacity_kWh,internal_resistance_mOhm,eis_impedance_1kHz_Ohm,voltage_OCV_V,dod_pct,c_rate_charge,c_rate_discharge,temperature_C,data_source
V00001,NCA,0,164.0,100.0,82.02,82.0,20.61,0.0198,4.138,80.8,2.44,1.2,26.9,real_calibrated
V00001,NCA,1,166.0,99.96,81.97,82.0,20.36,0.0203,4.156,92.8,0.31,1.49,32.1,synthetic
V00001,NCA,13,187.0,100.0,82.3,82.0,20.04,0.0192,4.154,85.5,2.73,1.93,26.4,synthetic
V00001,NCA,30,218.0,99.75,81.8,82.0,20.49,0.0197,4.154,64.3,2.18,1.46,26.7,synthetic
V00001,NCA,40,236.0,99.25,81.39,82.0,20.04,0.0209,4.162,88.1,1.44,2.11,27.7,real_calibrated
V00001,NCA,42,240.0,99.42,81.52,82.0,19.58,0.0201,4.146,52.3,1.18,1.29,23.5,synthetic
V00001,NCA,45,245.0,99.36,81.48,82.0,19.93,0.02,4.152,92.6,2.61,1.96,36.3,real_calibrated
V00001,NCA,46,247.0,99.38,81.49,82.0,20.36,0.0203,4.147,45.6,1.66,1.49,22.1,real_calibrated
V00001,NCA,56,265.0,99.22,81.36,82.0,19.86,0.019,4.152,34.4,1.46,2.32,23.9,real_calibrated
V00001,NCA,58,268.0,99.07,81.24,82.0,20.31,0.0208,4.159,60.1,0.81,1.98,42.7,real_calibrated
V00001,NCA,61,274.0,99.67,81.73,82.0,20.38,0.021,4.148,42.1,0.43,1.01,26.3,real_calibrated
V00001,NCA,76,301.0,99.44,81.54,82.0,20.31,0.0202,4.148,30.3,2.14,0.7,26.5,synthetic
V00001,NCA,85,317.0,98.53,80.79,82.0,20.81,0.0213,4.151,34.5,2.24,1.16,20.6,synthetic
V00001,NCA,93,331.0,98.59,80.84,82.0,19.93,0.0179,4.158,68.4,1.32,1.82,23.3,real_calibrated
V00001,NCA,94,333.0,98.55,80.81,82.0,20.79,0.0216,4.136,92.9,0.81,0.68,14.3,synthetic
V00001,NCA,97,339.0,99.0,81.18,82.0,20.21,0.0217,4.139,77.2,1.71,0.64,24.6,real_calibrated
V00001,NCA,133,403.0,99.1,81.26,82.0,20.4,0.0201,4.176,93.0,2.15,0.56,10.5,synthetic
V00001,NCA,144,423.0,99.02,81.2,82.0,20.65,0.0205,4.158,56.4,2.9,1.89,27.8,synthetic
